DoY-2007  np  V  Vx  Vy  Vz  B  Bx  By  Bz       
      238.04164     7.37800   389.63000  -389.39000    13.54700     2.23200     7.23000    -4.06400    -4.11100    -4.26800
      238.04238     6.01200   388.63000  -388.20700     9.50700   -15.54000     7.10700    -3.99300    -3.78200    -4.49700
      238.04313     5.90400   391.53000  -391.27300     8.64000   -11.20900     7.01300    -3.93000    -3.65600    -4.48600
      238.04387     6.01600   391.21000  -390.72400     7.57900   -17.90200     6.85600    -3.58200    -3.61200    -4.59200
      238.04461     5.64900   393.39000  -393.04700    12.12800   -11.16800     6.75700    -3.56700    -3.56800    -4.48900
      238.04535     6.62300   394.57000  -394.20000     2.82500   -16.78600     6.65800    -3.71600    -3.57600    -4.19100
      238.04609     6.20800   390.61000  -390.14800     4.96700   -18.39200     6.72600    -3.87800    -3.62300    -4.12400
      238.04683     6.16900   394.59000  -394.32100     8.69300   -11.81700     6.72400    -3.48200    -3.90300    -4.21300
      238.04757     5.44600   394.45000  -394.07400     4.45300   -16.71800     6.79500    -3.55300    -3.65900    -4.48600
      238.04831     5.85400   392.88000  -392.59200     7.07900   -13.24900     6.71500    -2.42100    -3.76000    -4.97100
      238.04905     6.46900   379.81000  -379.49600     2.37200   -15.19100     6.67700    -2.16500    -3.88300    -4.96500
      238.04979     6.58300   383.06000  -382.67300     3.70700   -16.82300     6.59100    -2.44200    -3.89200    -4.68900
      238.05053     6.14700   379.19000  -379.02000     7.22100    -8.81000     6.58600    -2.63100    -3.51000    -4.89000
      238.05127     6.07200   384.91000  -384.52700     9.03500   -14.65600     6.61500    -2.23400    -3.53000    -5.09400
      238.05201     6.09900   383.28000  -383.11200     6.42800    -9.35100     6.58900    -2.53400    -3.65600    -4.76400
      238.05275     6.14200   387.72000  -387.30100     4.71000   -17.40700     7.04100    -4.19400    -2.87000    -4.86800
      238.05350     5.47600   386.61000  -386.19300     1.37500   -17.92300     7.05500    -3.86500    -3.28700    -4.89600
      238.05424     5.49700   390.06000  -389.72700     3.60100   -15.64600     6.99400    -3.61500    -3.40400    -4.90100
      238.05498     5.64300   389.36000  -389.01200     2.75400   -16.30400     7.01900    -3.88900    -3.04500    -4.98000
      238.05572     5.82400   390.45000  -390.06000     5.71700   -16.47400     6.85600    -4.10000    -2.71600    -4.76500
      238.05646     5.38000   389.19000  -388.77500     3.78800   -17.49200     6.90000    -3.98200    -3.16400    -4.62800
      238.05720     5.87900   386.20000  -385.78900     3.55000   -17.38500     6.69500    -3.73700    -3.20000    -4.44900
      238.05794     6.49200   396.09000  -395.87900     1.53400   -12.95300     5.90600    -2.45400    -4.02800    -3.46100
      238.05868     6.77700   386.40000  -386.18000     2.04900   -12.75200     6.00400    -2.94300    -3.72600    -3.65600
      238.05942     6.15400   385.89000  -385.71000     9.40200    -6.83000     5.59400    -2.91500    -3.38200    -3.33400
      238.06016     6.59200   384.97000  -384.81000     4.66000    -8.63450     5.89300    -2.48100    -4.05100    -3.46700
      238.06090     7.03000   384.05000  -383.91000     -.08200   -10.43900     5.64200    -2.30400    -4.06500    -3.14700
      238.06164     7.29200   384.70000  -384.60400     8.04900    -2.87300     5.44000    -2.43400    -3.74100    -3.10400
      238.06238     7.02100   387.92000  -387.70900     6.06700   -11.25600     5.51400    -2.56200    -3.63500    -3.25500
      238.06313     7.37500   388.72000  -388.58000     7.50700    -7.46400     5.12100    -2.24900    -3.48700    -2.99200
      238.06387     8.19700   389.03000  -388.69800    10.24300   -12.47900     4.20100    -1.92600    -2.81200    -2.45300
      238.06461     8.43100   386.03000  -385.63200    11.56700   -13.28700     3.98800    -1.71700    -2.76000    -2.30500
      238.06535     8.19700   387.78000  -387.45200    13.25300    -8.72000     4.24200    -1.90500    -2.88100    -2.45600
      238.06609     7.68600   387.26000  -386.90900    10.95300   -12.40300     5.05500    -1.83300    -3.66100    -2.94500
      238.06683     7.24800   383.96000  -383.77900     7.59300    -8.94100     5.14200    -2.16400    -3.59100    -2.94200
      238.06757     7.77500   385.22000  -385.01300     6.80300   -10.63500     5.01100    -2.37800    -3.35500    -2.85300
      238.06831     7.01600   380.89000  -380.71200     2.71300   -11.20500     5.58100    -2.88800    -2.31900    -3.92100
      238.06905     7.33600   386.61000  -386.25700    11.19600   -12.30800     5.46600    -2.77000    -2.16300    -4.17300
      238.06979     6.94700   386.78000  -386.55600     5.91100   -11.88700     5.61600    -2.77800    -2.42300    -4.21400
      238.07053     7.19800   389.44000  -389.24800     7.76400    -9.51700     5.34800    -2.59900    -2.62000    -3.79300
      238.07127     7.93100   390.94000  -390.71600     7.24700   -11.25700     5.36400    -3.00700    -2.29800    -3.69100
      238.07201     7.17100   387.50000  -386.96100    14.84300   -14.06500     5.53000    -3.35400    -2.85000    -3.27600
      238.07275     7.31200   386.24000  -385.88200    15.52900    -5.79900     5.46600    -3.26400    -3.19100    -2.99500
      238.07350     7.83200   389.36000  -389.13300    11.89800    -5.82700     5.47300    -3.43300    -3.24400    -2.73300
      238.07424     7.17400   391.07000  -390.86300    12.55000     1.21300     5.27700    -3.02600    -2.94400    -3.14400
      238.07498     6.53200   388.87000  -388.38400    15.54200   -11.62700     5.51700    -2.86500    -2.89200    -3.67200
      238.07572     6.96100   386.20000  -385.76600    12.61100   -13.39900     5.56200    -3.06400    -2.95800    -3.53000
      238.07646     7.35900   386.41000  -386.26600     5.98800    -8.89900     5.68800    -3.10300    -3.10700    -3.60100
      238.07720     6.61500   390.03000  -389.76500    10.83300    -9.58500     5.70200    -3.45000    -2.82300    -3.53300
      238.07794     6.62100   389.60000  -389.41300    11.09200    -4.82200     5.92400    -3.83700    -2.61000    -3.63500
      238.07868     6.14300   389.25000  -388.72300    11.21300   -16.88200     5.73100    -3.27400    -2.40000    -3.90700
      238.07942     7.03200   386.93000  -386.48200     9.11900   -16.13700     5.40200    -2.94800    -2.66400    -3.46400
      238.08016     5.81500   378.51000  -378.31500    -5.13700   -10.86300     5.68300    -3.84600    -2.19600    -3.32000
